stem,model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos
20260505_121817_357741_a473e239,teacher_15b,exposure,1.2,23.337094235478617,0.7317293882369995,0.14894796907901764,0.9591104984283447,0.9241553544998169
20260505_121817_357741_a473e239,student_l1b_c,exposure,1.2,19.863430202969994,0.6590248942375183,0.24138295650482178,0.9354981184005737,0.870830774307251
20260505_121817_357741_a473e239,teacher_15b,gamma,0.8,23.39173385709026,0.7362443804740906,0.14173926413059235,0.9634531736373901,0.9284301400184631
20260505_121817_357741_a473e239,student_l1b_c,gamma,0.8,20.354436064090315,0.6762028932571411,0.23457692563533783,0.9520403146743774,0.8842014074325562
20260505_121817_357741_a473e239,teacher_15b,gamma,1.2,23.260000265348488,0.7352825403213501,0.14213308691978455,0.9553526043891907,0.9267585277557373
20260505_121817_357741_a473e239,student_l1b_c,gamma,1.2,20.237616836775963,0.6714217066764832,0.23343470692634583,0.9505071640014648,0.8831527233123779
20260505_121817_357741_a473e239,teacher_15b,blur,1.0,19.444270305900496,0.6309812664985657,0.3810543119907379,0.935769259929657,0.8771539926528931
20260505_121817_357741_a473e239,student_l1b_c,blur,1.0,17.730258345423966,0.5712458491325378,0.4880062937736511,0.8853970170021057,0.751556932926178
20260505_121817_357741_a473e239,teacher_15b,blur,2.0,14.899329634047195,0.4434504508972168,0.7149019241333008,0.6890342831611633,0.32220345735549927
20260505_121817_357741_a473e239,student_l1b_c,blur,2.0,14.739871317859471,0.4485849142074585,0.7415795922279358,0.7497029304504395,0.4343206286430359
20260505_121817_357741_a473e239,teacher_15b,noise,0.01,22.70987303163547,0.7123016119003296,0.1602211594581604,0.9316325187683105,0.9175841212272644
20260505_121817_357741_a473e239,student_l1b_c,noise,0.01,19.617646469237094,0.6529769897460938,0.25101304054260254,0.9500550627708435,0.8722177147865295
20260505_121817_357741_a473e239,teacher_15b,noise,0.03,18.460548736119918,0.5878192782402039,0.3302173316478729,0.9002290964126587,0.8642539978027344
20260505_121817_357741_a473e239,student_l1b_c,noise,0.03,17.29725278266877,0.5257051587104797,0.36617201566696167,0.9163069725036621,0.7734781503677368
20260504_200224_1d2f5c44,teacher_15b,clean,0.0,21.35030495722301,0.7648688554763794,0.17307069897651672,0.8933779001235962,0.9539472460746765
20260504_200224_1d2f5c44,student_l1b_c,clean,0.0,16.837810999608777,0.6492776870727539,0.25852641463279724,0.8651596307754517,0.9286048412322998
20260504_200224_1d2f5c44,teacher_15b,exposure,0.8,21.691474107605956,0.7739794254302979,0.17677563428878784,0.8957202434539795,0.9412228465080261
20260504_200224_1d2f5c44,student_l1b_c,exposure,0.8,17.921035125148922,0.6672391891479492,0.25587305426597595,0.870387852191925,0.9285270571708679
20260504_200224_1d2f5c44,teacher_15b,exposure,1.2,20.343524312348855,0.7447288036346436,0.17499954998493195,0.8882626891136169,0.9629063606262207
20260504_200224_1d2f5c44,student_l1b_c,exposure,1.2,15.933327639348352,0.6285865306854248,0.2668759822845459,0.8561405539512634,0.9262735247612
20260504_200224_1d2f5c44,teacher_15b,gamma,0.8,21.396876694980897,0.7657238245010376,0.1720101535320282,0.8930034637451172,0.9546905755996704
20260504_200224_1d2f5c44,student_l1b_c,gamma,0.8,16.74789572660677,0.6471094489097595,0.25920456647872925,0.8668636679649353,0.9252831339836121
20260504_200224_1d2f5c44,teacher_15b,gamma,1.2,21.326157046238205,0.7643084526062012,0.17509329319000244,0.8968850374221802,0.9525366425514221
20260504_200224_1d2f5c44,student_l1b_c,gamma,1.2,17.02490009646856,0.6532645225524902,0.2581311762332916,0.8635735511779785,0.9306791424751282
20260504_200224_1d2f5c44,teacher_15b,blur,1.0,15.469420190214912,0.6047274470329285,0.4119113087654114,0.7906208634376526,0.8604630827903748
20260504_200224_1d2f5c44,student_l1b_c,blur,1.0,14.511349255082777,0.5774468183517456,0.4563788175582886,0.7710701823234558,0.849000096321106
20260504_200224_1d2f5c44,teacher_15b,blur,2.0,13.27472084558491,0.5197950601577759,0.5985367894172668,0.6912937164306641,0.697395920753479
20260504_200224_1d2f5c44,student_l1b_c,blur,2.0,13.852142739369196,0.5200521945953369,0.6133146286010742,0.6781765818595886,0.7888420224189758
20260504_200224_1d2f5c44,teacher_15b,noise,0.01,19.848499197191714,0.7162398099899292,0.19999244809150696,0.8793879747390747,0.9472496509552002
20260504_200224_1d2f5c44,student_l1b_c,noise,0.01,16.021761960419077,0.6260597705841064,0.2782006859779358,0.8447712063789368,0.906798243522644
20260504_200224_1d2f5c44,teacher_15b,noise,0.03,16.20993514823939,0.5866137742996216,0.36042895913124084,0.7655059099197388,0.9143859148025513
20260504_200224_1d2f5c44,student_l1b_c,noise,0.03,14.464640655568491,0.5372347831726074,0.40730705857276917,0.7515453696250916,0.9025912284851074
20260505_134310_585667_cf8c21ee,teacher_15b,clean,0.0,17.10482826395252,0.48090267181396484,0.16236017644405365,0.9139001369476318,0.8693965673446655
20260505_134310_585667_cf8c21ee,student_l1b_c,clean,0.0,15.825079013128214,0.4310074746608734,0.22540171444416046,0.9251879453659058,0.745313286781311
20260505_134310_585667_cf8c21ee,teacher_15b,exposure,0.8,17.325168715217362,0.4765952527523041,0.17552414536476135,0.9104871153831482,0.8520323038101196
20260505_134310_585667_cf8c21ee,student_l1b_c,exposure,0.8,16.148151490892488,0.43526729941368103,0.22751522064208984,0.9077287316322327,0.7574019432067871
20260505_134310_585667_cf8c21ee,teacher_15b,exposure,1.2,16.74935621863969,0.47738921642303467,0.1602703332901001,0.9187541007995605,0.8609840869903564
20260505_134310_585667_cf8c21ee,student_l1b_c,exposure,1.2,14.987665301093145,0.4150277376174927,0.2439778596162796,0.9170202612876892,0.7343756556510925
20260505_134310_585667_cf8c21ee,teacher_15b,gamma,0.8,17.10477260958148,0.48132210969924927,0.16161921620368958,0.9161058664321899,0.8705511689186096
20260505_134310_585667_cf8c21ee,student_l1b_c,gamma,0.8,15.908528677479449,0.4329363703727722,0.22030337154865265,0.9136713147163391,0.7624408006668091
20260505_134310_585667_cf8c21ee,teacher_15b,gamma,1.2,17.11868594850983,0.4798664450645447,0.16398018598556519,0.9186933636665344,0.8657487630844116
20260505_134310_585667_cf8c21ee,student_l1b_c,gamma,1.2,15.737568414404253,0.42852067947387695,0.2310338318347931,0.9294723868370056,0.7320554256439209
20260505_134310_585667_cf8c21ee,teacher_15b,blur,1.0,12.702253275820317,0.3309466540813446,0.5048114061355591,0.7565872073173523,0.5385099649429321
20260505_134310_585667_cf8c21ee,student_l1b_c,blur,1.0,12.038645632725608,0.32219812273979187,0.5327218174934387,0.7847304940223694,0.5780327320098877
20260505_134310_585667_cf8c21ee,teacher_15b,blur,2.0,11.326120543960387,0.2182653844356537,0.8180010318756104,0.6513238549232483,0.29676708579063416
20260505_134310_585667_cf8c21ee,student_l1b_c,blur,2.0,11.183759002960723,0.24618089199066162,0.796486496925354,0.6917718648910522,0.39054542779922485
20260505_134310_585667_cf8c21ee,teacher_15b,noise,0.01,16.166653839072087,0.42277225852012634,0.2153005748987198,0.8596770167350769,0.752514660358429
20260505_134310_585667_cf8c21ee,student_l1b_c,noise,0.01,12.607539617683909,0.3237541913986206,0.4085546135902405,0.9075601696968079,0.6670401096343994
20260505_134310_585667_cf8c21ee,teacher_15b,noise,0.03,10.9640642824111,0.250255286693573,0.5069201588630676,0.843593418598175,0.5741863250732422
20260505_134310_585667_cf8c21ee,student_l1b_c,noise,0.03,12.118143700907444,0.28356122970581055,0.5124846696853638,0.8021161556243896,0.5305770039558411
20260505_130402_976849_a473e239,teacher_15b,clean,0.0,26.478097708147533,0.794066846370697,0.10645484924316406,0.9765394330024719,0.9592597484588623
20260505_130402_976849_a473e239,student_l1b_c,clean,0.0,24.482453254425693,0.753217339515686,0.15053728222846985,0.9690695405006409,0.8763614892959595
20260505_130402_976849_a473e239,teacher_15b,exposure,0.8,25.994518688433867,0.7924540042877197,0.10834139585494995,0.9744291305541992,0.9583302736282349
20260505_130402_976849_a473e239,student_l1b_c,exposure,0.8,23.27692434846292,0.7498748302459717,0.15279045701026917,0.9677172899246216,0.8655884265899658
20260505_130402_976849_a473e239,teacher_15b,exposure,1.2,25.782526814558736,0.7916049361228943,0.10988160967826843,0.9725339412689209,0.9567722082138062
20260505_130402_976849_a473e239,student_l1b_c,exposure,1.2,23.432349342880006,0.7443035840988159,0.1568627804517746,0.9617652893066406,0.8817195892333984
20260505_130402_976849_a473e239,teacher_15b,gamma,0.8,26.37702140427625,0.7933656573295593,0.10710939764976501,0.977022647857666,0.9591572284698486
20260505_130402_976849_a473e239,student_l1b_c,gamma,0.8,24.528286219772298,0.7546395063400269,0.14867271482944489,0.9701521396636963,0.8771592378616333
20260505_130402_976849_a473e239,teacher_15b,gamma,1.2,26.54411833724433,0.7942080497741699,0.10579467564821243,0.9736406207084656,0.9587630033493042
20260505_130402_976849_a473e239,student_l1b_c,gamma,1.2,24.40662323001301,0.7514178156852722,0.1531217396259308,0.9688392877578735,0.8744980096817017
20260505_130402_976849_a473e239,teacher_15b,blur,1.0,23.032116770519742,0.675517737865448,0.2871948778629303,0.9617385864257812,0.8968527317047119
20260505_130402_976849_a473e239,student_l1b_c,blur,1.0,21.037356660106774,0.612285315990448,0.3892621397972107,0.9206377863883972,0.7640697360038757
20260505_130402_976849_a473e239,teacher_15b,blur,2.0,17.88509477140763,0.4827955663204193,0.6372275948524475,0.840646505355835,0.568992018699646
20260505_130402_976849_a473e239,student_l1b_c,blur,2.0,15.970966373938143,0.4539797008037567,0.6923969984054565,0.8023385405540466,0.7118754386901855
20260505_130402_976849_a473e239,teacher_15b,noise,0.01,26.044793807073752,0.7745735049247742,0.12565918266773224,0.9499431848526001,0.9350470304489136
20260505_130402_976849_a473e239,student_l1b_c,noise,0.01,23.591070492519506,0.7266926765441895,0.17397674918174744,0.9460744261741638,0.8585139513015747
